"Team","Map Id","Map","Condition","Attacking Wins","Attacking Losses","Defending Wins","Defending Losses"
"ややーず",8,"Breeze","bomb",1,0,0,1
"ややーず",8,"Breeze","defuse",0,2,4,0
"ややーず",8,"Breeze","kills (post-plant)",1,0,0,3
"ややーず",8,"Breeze","kills (pre-plant)",1,5,2,0
"ややーず",8,"Breeze","time",0,2,0,0
"ややーず",2,"Split","bomb",2,0,0,0
"ややーず",2,"Split","defuse",0,3,2,0
"ややーず",2,"Split","kills (post-plant)",5,0,0,7
"ややーず",2,"Split","kills (pre-plant)",0,2,1,1
"ややーず",2,"Split","time",0,0,1,0
"100 Thieves",1,"Ascent","bomb",4,0,0,0
"100 Thieves",1,"Ascent","defuse",0,14,14,0
"100 Thieves",1,"Ascent","kills (post-plant)",15,0,0,19
"100 Thieves",1,"Ascent","kills (pre-plant)",4,34,17,3
"100 Thieves",1,"Ascent","time",0,3,5,0
"100 Thieves",3,"Bind","bomb",10,0,0,7
"100 Thieves",3,"Bind","defuse",0,4,11,0
"100 Thieves",3,"Bind","kills (post-plant)",21,0,0,14
"100 Thieves",3,"Bind","kills (pre-plant)",4,18,15,5
"100 Thieves",3,"Bind","time",0,4,3,0
"100 Thieves",8,"Breeze","bomb",8,0,0,13
"100 Thieves",8,"Breeze","defuse",0,15,33,0
"100 Thieves",8,"Breeze","kills (post-plant)",31,0,0,40
"100 Thieves",8,"Breeze","kills (pre-plant)",19,39,34,10
"100 Thieves",8,"Breeze","time",0,3,4,0
"100 Thieves",9,"Fracture","bomb",13,0,0,6
"100 Thieves",9,"Fracture","defuse",0,15,18,0
"100 Thieves",9,"Fracture","kills (post-plant)",27,0,0,29
"100 Thieves",9,"Fracture","kills (pre-plant)",13,29,34,16
"100 Thieves",9,"Fracture","time",0,0,1,0
"100 Thieves",7,"Haven","bomb",8,0,0,13
"100 Thieves",7,"Haven","defuse",0,12,19,0
"100 Thieves",7,"Haven","kills (post-plant)",22,0,0,26
"100 Thieves",7,"Haven","kills (pre-plant)",17,11,10,17
"100 Thieves",7,"Haven","time",0,0,1,0
"100 Thieves",4,"Icebox","bomb",13,0,0,1
"100 Thieves",4,"Icebox","defuse",0,22,18,0
"100 Thieves",4,"Icebox","kills (post-plant)",20,0,0,25
"100 Thieves",4,"Icebox","kills (pre-plant)",8,13,16,14
"100 Thieves",4,"Icebox","time",0,1,4,0
"100 Thieves",10,"Pearl","bomb",2,0,0,1
"100 Thieves",10,"Pearl","defuse",0,3,5,0
"100 Thieves",10,"Pearl","kills (post-plant)",4,0,0,5
"100 Thieves",10,"Pearl","kills (pre-plant)",1,1,1,0
"100 Thieves",2,"Split","bomb",4,0,0,4
"100 Thieves",2,"Split","defuse",0,12,14,0
"100 Thieves",2,"Split","kills (post-plant)",20,0,0,17
"100 Thieves",2,"Split","kills (pre-plant)",3,39,30,1
"100 Thieves",2,"Split","time",0,7,2,0
"9z Team",1,"Ascent","bomb",5,0,0,6
"9z Team",1,"Ascent","defuse",0,15,14,0
"9z Team",1,"Ascent","kills (post-plant)",20,0,0,34
"9z Team",1,"Ascent","kills (pre-plant)",8,25,26,13
"9z Team",1,"Ascent","time",0,5,2,0
"9z Team",3,"Bind","bomb",4,0,0,7
"9z Team",3,"Bind","defuse",0,6,8,0
"9z Team",3,"Bind","kills (post-plant)",22,0,0,37
"9z Team",3,"Bind","kills (pre-plant)",7,20,14,6
"9z Team",3,"Bind","time",0,2,2,0
"9z Team",8,"Breeze","bomb",2,0,0,4
"9z Team",8,"Breeze","defuse",0,5,3,0
"9z Team",8,"Breeze","kills (post-plant)",3,0,0,12
"9z Team",8,"Breeze","kills (pre-plant)",1,9,13,4
"9z Team",8,"Breeze","time",0,1,0,0
"9z Team",9,"Fracture","bomb",4,0,0,1
"9z Team",9,"Fracture","defuse",0,0,1,0
"9z Team",9,"Fracture","kills (post-plant)",3,0,0,5
"9z Team",9,"Fracture","kills (pre-plant)",2,4,4,2
"9z Team",7,"Haven","bomb",19,0,0,15
"9z Team",7,"Haven","defuse",0,28,27,0
"9z Team",7,"Haven","kills (post-plant)",39,0,0,39
"9z Team",7,"Haven","kills (pre-plant)",20,47,39,16
"9z Team",7,"Haven","time",0,6,4,0
"9z Team",4,"Icebox","bomb",2,0,0,3
"9z Team",4,"Icebox","defuse",0,2,2,0
"9z Team",4,"Icebox","kills (post-plant)",13,0,0,8
"9z Team",4,"Icebox","kills (pre-plant)",0,4,6,4
"9z Team",4,"Icebox","time",0,1,0,0
"9z Team",2,"Split","bomb",2,0,0,6
"9z Team",2,"Split","defuse",0,4,3,0
"9z Team",2,"Split","kills (post-plant)",10,0,0,20
"9z Team",2,"Split","kills (pre-plant)",1,15,7,2
"9z Team",2,"Split","time",0,1,3,0
"Acend",1,"Ascent","bomb",5,0,0,6
"Acend",1,"Ascent","defuse",0,12,5,0
"Acend",1,"Ascent","kills (post-plant)",19,0,0,25
"Acend",1,"Ascent","kills (pre-plant)",13,18,18,6
"Acend",1,"Ascent","time",0,1,0,0
"Acend",3,"Bind","bomb",9,0,0,3
"Acend",3,"Bind","defuse",0,18,7,0
"Acend",3,"Bind","kills (post-plant)",29,0,0,22
"Acend",3,"Bind","kills (pre-plant)",4,22,16,6
"Acend",3,"Bind","time",0,2,0,0
"Acend",8,"Breeze","bomb",3,0,0,6
"Acend",8,"Breeze","defuse",0,6,9,0
"Acend",8,"Breeze","kills (post-plant)",16,0,0,23
"Acend",8,"Breeze","kills (pre-plant)",2,24,11,8
"Acend",8,"Breeze","time",0,1,4,0
"Acend",9,"Fracture","bomb",0,0,0,1
"Acend",9,"Fracture","defuse",0,7,5,0
"Acend",9,"Fracture","kills (post-plant)",8,0,0,9
"Acend",9,"Fracture","kills (pre-plant)",6,13,4,2
"Acend",9,"Fracture","time",0,2,0,0
"Acend",7,"Haven","bomb",2,0,0,1
"Acend",7,"Haven","defuse",0,10,3,0
"Acend",7,"Haven","kills (post-plant)",9,0,0,13
"Acend",7,"Haven","kills (pre-plant)",3,9,15,7
"Acend",7,"Haven","time",0,2,2,0
"Acend",4,"Icebox","bomb",9,0,0,1
"Acend",4,"Icebox","defuse",0,17,7,0
"Acend",4,"Icebox","kills (post-plant)",20,0,0,20
"Acend",4,"Icebox","kills (pre-plant)",4,7,17,5
"Acend",4,"Icebox","time",0,2,1,0
"Acend",2,"Split","bomb",5,0,0,5
"Acend",2,"Split","defuse",0,11,9,0
"Acend",2,"Split","kills (post-plant)",22,0,0,21
"Acend",2,"Split","kills (pre-plant)",9,29,33,3
"Acend",2,"Split","time",0,2,4,0
"Alter Ego",1,"Ascent","bomb",2,0,0,0
"Alter Ego",1,"Ascent","defuse",0,7,3,0
"Alter Ego",1,"Ascent","kills (post-plant)",4,0,0,8
"Alter Ego",1,"Ascent","kills (pre-plant)",4,10,7,4
"Alter Ego",3,"Bind","bomb",7,0,0,4
"Alter Ego",3,"Bind","defuse",0,11,10,0
"Alter Ego",3,"Bind","kills (post-plant)",28,0,0,22
"Alter Ego",3,"Bind","kills (pre-plant)",4,24,26,10
"Alter Ego",3,"Bind","time",0,0,2,0
"Alter Ego",9,"Fracture","bomb",4,0,0,1
"Alter Ego",9,"Fracture","defuse",0,4,7,0
"Alter Ego",9,"Fracture","kills (post-plant)",16,0,0,13
"Alter Ego",9,"Fracture","kills (pre-plant)",7,12,15,6
"Alter Ego",7,"Haven","bomb",4,0,0,1
"Alter Ego",7,"Haven","defuse",0,10,11,0
"Alter Ego",7,"Haven","kills (post-plant)",9,0,0,14
"Alter Ego",7,"Haven","kills (pre-plant)",3,19,19,5
"Alter Ego",7,"Haven","time",0,1,1,0
"Alter Ego",4,"Icebox","bomb",0,0,0,1
"Alter Ego",4,"Icebox","defuse",0,1,10,0
"Alter Ego",4,"Icebox","kills (post-plant)",4,0,0,12
"Alter Ego",4,"Icebox","kills (pre-plant)",3,11,8,5
"Alter Ego",4,"Icebox","time",0,1,0,0
"Alter Ego",2,"Split","bomb",0,0,0,1
"Alter Ego",2,"Split","defuse",0,2,4,0
"Alter Ego",2,"Split","kills (post-plant)",4,0,0,7
"Alter Ego",2,"Split","kills (pre-plant)",4,6,12,0
"AWS",1,"Ascent","bomb",1,0,0,1
"AWS",1,"Ascent","defuse",0,0,2,0
"AWS",1,"Ascent","kills (post-plant)",2,0,0,5
"AWS",1,"Ascent","kills (pre-plant)",0,3,0,4
"AWS",7,"Haven","defuse",0,5,0,0
"AWS",7,"Haven","kills (post-plant)",1,0,0,2
"AWS",7,"Haven","kills (pre-plant)",0,6,0,0
"BBL Esports",1,"Ascent","bomb",6,0,0,14
"BBL Esports",1,"Ascent","defuse",0,12,15,0
"BBL Esports",1,"Ascent","kills (post-plant)",22,0,0,18
"BBL Esports",1,"Ascent","kills (pre-plant)",5,9,11,8
"BBL Esports",1,"Ascent","time",0,3,4,0
"BBL Esports",3,"Bind","bomb",4,0,0,4
"BBL Esports",3,"Bind","defuse",0,3,2,0
"BBL Esports",3,"Bind","kills (post-plant)",1,0,0,2
"BBL Esports",3,"Bind","kills (pre-plant)",2,3,2,2
"BBL Esports",3,"Bind","time",0,0,1,0
"BBL Esports",8,"Breeze","bomb",3,0,0,2
"BBL Esports",8,"Breeze","defuse",0,1,3,0
"BBL Esports",8,"Breeze","kills (post-plant)",3,0,0,7
"BBL Esports",8,"Breeze","kills (pre-plant)",0,12,2,4
"BBL Esports",9,"Fracture","bomb",5,0,0,6
"BBL Esports",9,"Fracture","defuse",0,7,10,0
"BBL Esports",9,"Fracture","kills (post-plant)",15,0,0,12
"BBL Esports",9,"Fracture","kills (pre-plant)",6,16,6,6
"BBL Esports",9,"Fracture","time",0,1,3,0
"BBL Esports",7,"Haven","bomb",2,0,0,3
"BBL Esports",7,"Haven","defuse",0,15,8,0
"BBL Esports",7,"Haven","kills (post-plant)",17,0,0,7
"BBL Esports",7,"Haven","kills (pre-plant)",2,9,8,5
"BBL Esports",7,"Haven","time",0,3,1,0
"BBL Esports",4,"Icebox","bomb",5,0,0,9
"BBL Esports",4,"Icebox","defuse",0,18,15,0
"BBL Esports",4,"Icebox","kills (post-plant)",14,0,0,23
"BBL Esports",4,"Icebox","kills (pre-plant)",3,9,7,5
"BBL Esports",4,"Icebox","time",0,1,1,0
"BBL Esports",2,"Split","bomb",7,0,0,6
"BBL Esports",2,"Split","defuse",0,9,4,0
"BBL Esports",2,"Split","kills (post-plant)",14,0,0,16
"BBL Esports",2,"Split","kills (pre-plant)",3,11,5,2
"BBL Esports",2,"Split","time",0,2,3,0
"BIG",1,"Ascent","bomb",3,0,0,4
"BIG",1,"Ascent","defuse",0,12,4,0
"BIG",1,"Ascent","kills (post-plant)",11,0,0,10
"BIG",1,"Ascent","kills (pre-plant)",4,15,12,6
"BIG",1,"Ascent","time",0,1,4,0
"BIG",3,"Bind","bomb",13,0,0,4
"BIG",3,"Bind","defuse",0,7,7,0
"BIG",3,"Bind","kills (post-plant)",20,0,0,15
"BIG",3,"Bind","kills (pre-plant)",4,19,20,11
"BIG",3,"Bind","time",0,1,3,0
"BIG",8,"Breeze","bomb",3,0,0,2
"BIG",8,"Breeze","defuse",0,5,2,0
"BIG",8,"Breeze","kills (post-plant)",3,0,0,7
"BIG",8,"Breeze","kills (pre-plant)",3,7,1,5
"BIG",9,"Fracture","bomb",1,0,0,1
"BIG",9,"Fracture","defuse",0,3,1,0
"BIG",9,"Fracture","kills (post-plant)",4,0,0,2
"BIG",9,"Fracture","kills (pre-plant)",1,1,5,2
"BIG",9,"Fracture","time",0,2,1,0
"BIG",7,"Haven","bomb",2,0,0,6
"BIG",7,"Haven","defuse",0,10,11,0
"BIG",7,"Haven","kills (post-plant)",8,0,0,23
"BIG",7,"Haven","kills (pre-plant)",1,22,10,3
"BIG",7,"Haven","time",0,1,3,0
"BIG",4,"Icebox","bomb",8,0,0,4
"BIG",4,"Icebox","defuse",0,8,1,0
"BIG",4,"Icebox","kills (post-plant)",5,0,0,10
"BIG",4,"Icebox","kills (pre-plant)",2,7,11,2
"BIG",4,"Icebox","time",0,1,1,0
"BIG",2,"Split","bomb",1,0,0,4
"BIG",2,"Split","defuse",0,8,7,0
"BIG",2,"Split","kills (post-plant)",5,0,0,13
"BIG",2,"Split","kills (pre-plant)",6,29,19,6
"BIG",2,"Split","time",0,2,3,0
"Bleed Esports",1,"Ascent","bomb",8,0,0,5
"Bleed Esports",1,"Ascent","defuse",0,11,16,0
"Bleed Esports",1,"Ascent","kills (post-plant)",35,0,0,21
"Bleed Esports",1,"Ascent","kills (pre-plant)",6,15,21,10
"Bleed Esports",1,"Ascent","time",0,1,3,0
"Bleed Esports",3,"Bind","bomb",7,0,0,9
"Bleed Esports",3,"Bind","defuse",0,6,5,0
"Bleed Esports",3,"Bind","kills (post-plant)",19,0,0,12
"Bleed Esports",3,"Bind","kills (pre-plant)",5,11,12,7
"Bleed Esports",3,"Bind","time",0,0,1,0
"Bleed Esports",8,"Breeze","bomb",4,0,0,2
"Bleed Esports",8,"Breeze","defuse",0,5,4,0
"Bleed Esports",8,"Breeze","kills (post-plant)",13,0,0,12
"Bleed Esports",8,"Breeze","kills (pre-plant)",3,8,12,1
"Bleed Esports",8,"Breeze","time",0,0,1,0
"Bleed Esports",9,"Fracture","defuse",0,4,0,0
"Bleed Esports",9,"Fracture","kills (post-plant)",4,0,0,5
"Bleed Esports",9,"Fracture","kills (pre-plant)",3,12,2,4
"Bleed Esports",9,"Fracture","time",0,1,0,0
"Bleed Esports",7,"Haven","bomb",16,0,0,8
"Bleed Esports",7,"Haven","defuse",0,23,18,0
"Bleed Esports",7,"Haven","kills (post-plant)",32,0,0,24
"Bleed Esports",7,"Haven","kills (pre-plant)",13,36,29,20
"Bleed Esports",7,"Haven","time",0,1,4,0
"Bleed Esports",4,"Icebox","bomb",6,0,0,6
"Bleed Esports",4,"Icebox","defuse",0,11,10,0
"Bleed Esports",4,"Icebox","kills (post-plant)",25,0,0,21
"Bleed Esports",4,"Icebox","kills (pre-plant)",9,23,16,10
"Bleed Esports",4,"Icebox","time",0,1,2,0
"Bleed Esports",2,"Split","bomb",6,0,0,5
"Bleed Esports",2,"Split","defuse",0,6,7,0
"Bleed Esports",2,"Split","kills (post-plant)",12,0,0,11
"Bleed Esports",2,"Split","kills (pre-plant)",7,10,10,7
"Bleed Esports",2,"Split","time",0,0,1,0
"BLUE BEES.ESP",1,"Ascent","bomb",2,0,0,2
"BLUE BEES.ESP",1,"Ascent","defuse",0,9,6,0
"BLUE BEES.ESP",1,"Ascent","kills (post-plant)",5,0,0,2
"BLUE BEES.ESP",1,"Ascent","kills (pre-plant)",3,3,7,2
"BLUE BEES.ESP",1,"Ascent","time",0,1,0,0
"BLUE BEES.ESP",3,"Bind","bomb",3,0,0,4
"BLUE BEES.ESP",3,"Bind","defuse",0,10,17,0
"BLUE BEES.ESP",3,"Bind","kills (post-plant)",12,0,0,9
"BLUE BEES.ESP",3,"Bind","kills (pre-plant)",2,11,6,2
"BLUE BEES.ESP",8,"Breeze","bomb",1,0,0,2
"BLUE BEES.ESP",8,"Breeze","defuse",0,5,0,0
"BLUE BEES.ESP",8,"Breeze","kills (post-plant)",4,0,0,4
"BLUE BEES.ESP",8,"Breeze","kills (pre-plant)",0,2,6,0
"BLUE BEES.ESP",7,"Haven","bomb",2,0,0,2
"BLUE BEES.ESP",7,"Haven","defuse",0,6,7,0
"BLUE BEES.ESP",7,"Haven","kills (post-plant)",8,0,0,11
"BLUE BEES.ESP",7,"Haven","kills (pre-plant)",6,5,10,4
"BLUE BEES.ESP",7,"Haven","time",0,2,0,0
"BLUE BEES.ESP",2,"Split","defuse",0,10,3,0
"BLUE BEES.ESP",2,"Split","kills (post-plant)",17,0,0,6
"BLUE BEES.ESP",2,"Split","kills (pre-plant)",5,15,13,3
"BLUE BEES.ESP",2,"Split","time",0,1,0,0
"Bonkers(OCE)",3,"Bind","bomb",1,0,0,1
"Bonkers(OCE)",3,"Bind","defuse",0,6,1,0
"Bonkers(OCE)",3,"Bind","kills (post-plant)",10,0,0,10
"Bonkers(OCE)",3,"Bind","kills (pre-plant)",0,11,6,0
"Bonkers(OCE)",3,"Bind","time",0,0,1,0
"Bonkers(OCE)",8,"Breeze","bomb",0,0,0,1
"Bonkers(OCE)",8,"Breeze","defuse",0,3,1,0
"Bonkers(OCE)",8,"Breeze","kills (post-plant)",2,0,0,2
"Bonkers(OCE)",8,"Breeze","kills (pre-plant)",0,7,0,0
"Bonkers(OCE)",9,"Fracture","defuse",0,2,1,0
"Bonkers(OCE)",9,"Fracture","kills (post-plant)",6,0,0,8
"Bonkers(OCE)",9,"Fracture","kills (pre-plant)",3,2,3,2
"Bonkers(OCE)",9,"Fracture","time",0,1,0,0
"Bonkers(OCE)",7,"Haven","bomb",4,0,0,2
"Bonkers(OCE)",7,"Haven","defuse",0,8,8,0
"Bonkers(OCE)",7,"Haven","kills (post-plant)",8,0,0,10
"Bonkers(OCE)",7,"Haven","kills (pre-plant)",4,9,14,3
"Bonkers(OCE)",7,"Haven","time",0,0,1,0
"Bonkers(OCE)",2,"Split","defuse",0,0,3,0
"Bonkers(OCE)",2,"Split","kills (post-plant)",2,0,0,2
"Bonkers(OCE)",2,"Split","kills (pre-plant)",1,1,7,0
"BOOM Esports",1,"Ascent","bomb",2,0,0,5
"BOOM Esports",1,"Ascent","defuse",0,11,13,0
"BOOM Esports",1,"Ascent","kills (post-plant)",13,0,0,19
"BOOM Esports",1,"Ascent","kills (pre-plant)",5,25,23,2
"BOOM Esports",1,"Ascent","time",0,2,0,0
"BOOM Esports",3,"Bind","bomb",10,0,0,9
"BOOM Esports",3,"Bind","defuse",0,10,12,0
"BOOM Esports",3,"Bind","kills (post-plant)",7,0,0,17
"BOOM Esports",3,"Bind","kills (pre-plant)",7,29,17,2
"BOOM Esports",3,"Bind","time",0,3,1,0
"BOOM Esports",8,"Breeze","bomb",6,0,0,7
"BOOM Esports",8,"Breeze","defuse",0,15,15,0
"BOOM Esports",8,"Breeze","kills (post-plant)",25,0,0,17
"BOOM Esports",8,"Breeze","kills (pre-plant)",6,10,17,7
"BOOM Esports",8,"Breeze","time",0,0,1,0
"BOOM Esports",9,"Fracture","bomb",11,0,0,11
"BOOM Esports",9,"Fracture","defuse",0,18,14,0
"BOOM Esports",9,"Fracture","kills (post-plant)",33,0,0,23
"BOOM Esports",9,"Fracture","kills (pre-plant)",18,33,20,11
"BOOM Esports",9,"Fracture","time",0,2,1,0
"BOOM Esports",7,"Haven","bomb",11,0,0,13
"BOOM Esports",7,"Haven","defuse",0,18,29,0
"BOOM Esports",7,"Haven","kills (post-plant)",18,0,0,30
"BOOM Esports",7,"Haven","kills (pre-plant)",21,25,32,12
"BOOM Esports",7,"Haven","time",0,2,0,0
"BOOM Esports",4,"Icebox","bomb",1,0,0,5
"BOOM Esports",4,"Icebox","defuse",0,7,5,0
"BOOM Esports",4,"Icebox","kills (post-plant)",17,0,0,13
"BOOM Esports",4,"Icebox","kills (pre-plant)",5,5,15,3
"BOOM Esports",4,"Icebox","time",0,0,2,0
"BOOM Esports",10,"Pearl","bomb",0,0,0,3
"BOOM Esports",10,"Pearl","defuse",0,2,1,0
"BOOM Esports",10,"Pearl","kills (post-plant)",5,0,0,5
"BOOM Esports",10,"Pearl","kills (pre-plant)",2,2,3,0
"BOOM Esports",10,"Pearl","time",0,1,0,0
"BOOM Esports",2,"Split","bomb",2,0,0,3
"BOOM Esports",2,"Split","defuse",0,10,10,0
"BOOM Esports",2,"Split","kills (post-plant)",12,0,0,10
"BOOM Esports",2,"Split","kills (pre-plant)",5,15,7,1
"BOOM Esports",2,"Split","time",0,4,1,0
"Brimstone",1,"Ascent","defuse",0,0,2,0
"Brimstone",1,"Ascent","kills (post-plant)",2,0,0,2
"Brimstone",1,"Ascent","kills (pre-plant)",2,3,6,1
"Brimstone",1,"Ascent","time",0,0,1,0
"Brimstone",3,"Bind","bomb",1,0,0,0
"Brimstone",3,"Bind","defuse",0,4,2,0
"Brimstone",3,"Bind","kills (post-plant)",3,0,0,3
"Brimstone",3,"Bind","kills (pre-plant)",1,3,6,1
"Brimstone",8,"Breeze","bomb",4,0,0,4
"Brimstone",8,"Breeze","defuse",0,5,8,0
"Brimstone",8,"Breeze","kills (post-plant)",8,0,0,6
"Brimstone",8,"Breeze","kills (pre-plant)",2,12,11,1
"Brimstone",7,"Haven","bomb",0,0,0,2
"Brimstone",7,"Haven","defuse",0,3,0,0
"Brimstone",7,"Haven","kills (post-plant)",3,0,0,2
"Brimstone",7,"Haven","kills (pre-plant)",0,6,2,0
"Brimstone",7,"Haven","time",0,0,1,0
"Brimstone",2,"Split","bomb",5,0,0,0
"Brimstone",2,"Split","defuse",0,0,2,0
"Brimstone",2,"Split","kills (post-plant)",4,0,0,8
"Brimstone",2,"Split","kills (pre-plant)",0,2,1,0
"Brimstone",2,"Split","time",0,0,1,0
"CERBERUS Esports",1,"Ascent","bomb",3,0,0,0
"CERBERUS Esports",1,"Ascent","defuse",0,13,4,0
"CERBERUS Esports",1,"Ascent","kills (post-plant)",3,0,0,6
"CERBERUS Esports",1,"Ascent","kills (pre-plant)",1,15,6,4
"CERBERUS Esports",1,"Ascent","time",0,1,1,0
"CERBERUS Esports",3,"Bind","bomb",0,0,0,7
"CERBERUS Esports",3,"Bind","defuse",0,7,8,0
"CERBERUS Esports",3,"Bind","kills (post-plant)",6,0,0,17
"CERBERUS Esports",3,"Bind","kills (pre-plant)",5,10,10,5
"CERBERUS Esports",3,"Bind","time",0,0,1,0
"CERBERUS Esports",8,"Breeze","bomb",1,0,0,1
"CERBERUS Esports",8,"Breeze","defuse",0,3,5,0
"CERBERUS Esports",8,"Breeze","kills (post-plant)",5,0,0,10
"CERBERUS Esports",8,"Breeze","kills (pre-plant)",2,6,4,3
"CERBERUS Esports",8,"Breeze","time",0,1,1,0
"CERBERUS Esports",7,"Haven","bomb",2,0,0,2
"CERBERUS Esports",7,"Haven","defuse",0,4,9,0
"CERBERUS Esports",7,"Haven","kills (post-plant)",9,0,0,10
"CERBERUS Esports",7,"Haven","kills (pre-plant)",9,12,14,8
"CERBERUS Esports",4,"Icebox","bomb",0,0,0,2
"CERBERUS Esports",4,"Icebox","defuse",0,3,1,0
"CERBERUS Esports",4,"Icebox","kills (post-plant)",4,0,0,3
"CERBERUS Esports",4,"Icebox","kills (pre-plant)",2,3,6,0
"CERBERUS Esports",2,"Split","defuse",0,2,3,0
"CERBERUS Esports",2,"Split","kills (post-plant)",0,0,0,2
"CERBERUS Esports",2,"Split","kills (pre-plant)",0,7,4,1
"CERBERUS Esports",2,"Split","time",0,1,2,0
"Cloud9",1,"Ascent","bomb",8,0,0,10
"Cloud9",1,"Ascent","defuse",0,30,23,0
"Cloud9",1,"Ascent","kills (post-plant)",36,0,0,30
"Cloud9",1,"Ascent","kills (pre-plant)",13,20,37,7
"Cloud9",1,"Ascent","time",0,2,6,0
"Cloud9",3,"Bind","bomb",3,0,0,2
"Cloud9",3,"Bind","defuse",0,6,9,0
"Cloud9",3,"Bind","kills (post-plant)",6,0,0,9
"Cloud9",3,"Bind","kills (pre-plant)",0,14,11,7
"Cloud9",3,"Bind","time",0,1,0,0
"Cloud9",8,"Breeze","bomb",7,0,0,0
"Cloud9",8,"Breeze","defuse",0,15,7,0
"Cloud9",8,"Breeze","kills (post-plant)",24,0,0,18
"Cloud9",8,"Breeze","kills (pre-plant)",6,18,19,7
"Cloud9",8,"Breeze","time",0,1,2,0
"Cloud9",9,"Fracture","bomb",6,0,0,7
"Cloud9",9,"Fracture","defuse",0,18,18,0
"Cloud9",9,"Fracture","kills (post-plant)",32,0,0,29
"Cloud9",9,"Fracture","kills (pre-plant)",8,25,26,6
"Cloud9",9,"Fracture","time",0,3,1,0
"Cloud9",7,"Haven","bomb",11,0,0,3
"Cloud9",7,"Haven","defuse",0,20,25,0
"Cloud9",7,"Haven","kills (post-plant)",34,0,0,20
"Cloud9",7,"Haven","kills (pre-plant)",14,21,28,10
"Cloud9",7,"Haven","time",0,1,1,0
"Cloud9",4,"Icebox","bomb",7,0,0,2
"Cloud9",4,"Icebox","defuse",0,17,24,0
"Cloud9",4,"Icebox","kills (post-plant)",34,0,0,21
"Cloud9",4,"Icebox","kills (pre-plant)",2,13,10,10
"Cloud9",4,"Icebox","time",0,2,1,0
"Cloud9",2,"Split","bomb",4,0,0,2
"Cloud9",2,"Split","defuse",0,9,6,0
"Cloud9",2,"Split","kills (post-plant)",6,0,0,9
"Cloud9",2,"Split","kills (pre-plant)",0,14,15,1
"Cloud9",2,"Split","time",0,1,3,0
"CNJ Esports",1,"Ascent","bomb",8,0,0,7
"CNJ Esports",1,"Ascent","defuse",0,13,13,0
"CNJ Esports",1,"Ascent","kills (post-plant)",19,0,0,16
"CNJ Esports",1,"Ascent","kills (pre-plant)",3,28,23,5
"CNJ Esports",1,"Ascent","time",0,2,2,0
"CNJ Esports",3,"Bind","bomb",0,0,0,1
"CNJ Esports",3,"Bind","defuse",0,2,4,0
"CNJ Esports",3,"Bind","kills (post-plant)",3,0,0,3
"CNJ Esports",3,"Bind","kills (pre-plant)",1,6,3,1
"CNJ Esports",8,"Breeze","bomb",6,0,0,7
"CNJ Esports",8,"Breeze","defuse",0,10,10,0
"CNJ Esports",8,"Breeze","kills (post-plant)",9,0,0,14
"CNJ Esports",8,"Breeze","kills (pre-plant)",2,21,12,6
"CNJ Esports",8,"Breeze","time",0,0,1,0
"CNJ Esports",9,"Fracture","bomb",2,0,0,0
"CNJ Esports",9,"Fracture","defuse",0,6,7,0
"CNJ Esports",9,"Fracture","kills (post-plant)",5,0,0,11
"CNJ Esports",9,"Fracture","kills (pre-plant)",0,8,9,3
"CNJ Esports",9,"Fracture","time",0,1,0,0
"CNJ Esports",7,"Haven","bomb",1,0,0,2
"CNJ Esports",7,"Haven","defuse",0,5,8,0
"CNJ Esports",7,"Haven","kills (post-plant)",8,0,0,7
"CNJ Esports",7,"Haven","kills (pre-plant)",2,7,4,1
"CNJ Esports",7,"Haven","time",0,1,0,0
"CNJ Esports",4,"Icebox","bomb",5,0,0,2
"CNJ Esports",4,"Icebox","defuse",0,5,8,0
"CNJ Esports",4,"Icebox","kills (post-plant)",12,0,0,4
"CNJ Esports",4,"Icebox","kills (pre-plant)",2,10,9,3
"CNJ Esports",4,"Icebox","time",0,2,1,0
"CNJ Esports",2,"Split","bomb",2,0,0,4
"CNJ Esports",2,"Split","defuse",0,8,5,0
"CNJ Esports",2,"Split","kills (post-plant)",12,0,0,21
"CNJ Esports",2,"Split","kills (pre-plant)",8,14,7,2
"CNJ Esports",2,"Split","time",0,3,3,0
"Crazy Raccoon",1,"Ascent","bomb",4,0,0,4
"Crazy Raccoon",1,"Ascent","defuse",0,10,27,0
"Crazy Raccoon",1,"Ascent","kills (post-plant)",16,0,0,20
"Crazy Raccoon",1,"Ascent","kills (pre-plant)",10,24,26,3
"Crazy Raccoon",1,"Ascent","time",0,3,4,0
"Crazy Raccoon",3,"Bind","bomb",6,0,0,4
"Crazy Raccoon",3,"Bind","defuse",0,9,9,0
"Crazy Raccoon",3,"Bind","kills (post-plant)",29,0,0,26
"Crazy Raccoon",3,"Bind","kills (pre-plant)",5,9,18,7
"Crazy Raccoon",3,"Bind","time",0,1,4,0
"Crazy Raccoon",8,"Breeze","bomb",1,0,0,3
"Crazy Raccoon",8,"Breeze","defuse",0,6,10,0
"Crazy Raccoon",8,"Breeze","kills (post-plant)",8,0,0,12
"Crazy Raccoon",8,"Breeze","kills (pre-plant)",4,9,8,2
"Crazy Raccoon",8,"Breeze","time",0,0,1,0
"Crazy Raccoon",9,"Fracture","bomb",0,0,0,3
"Crazy Raccoon",9,"Fracture","defuse",0,3,3,0
